[2024-07-05 21:17:47.150566]; Lat: -33.458246; Long: -70.66205; Alt: 552.519;
[2024-07-05 21:17:48.156781]; Lat: -33.458246; Long: -70.66205; Alt: 552.514;
[2024-07-05 21:17:49.163906]; Lat: -33.458246; Long: -70.66205; Alt: 552.514;
[2024-07-05 21:17:50.168432]; Lat: -33.458246; Long: -70.66205; Alt: 552.514;
[2024-07-05 21:17:51.173682]; Lat: -33.458245; Long: -70.66205; Alt: 552.454;
[2024-07-05 21:17:52.178485]; Lat: -33.458245; Long: -70.66205; Alt: 552.454;
[2024-07-05 21:17:53.181605]; Lat: -33.458245; Long: -70.66205; Alt: 552.454;
[2024-07-05 21:17:54.187836]; Lat: -33.458246; Long: -70.66205; Alt: 552.448;
[2024-07-05 21:17:55.193681]; Lat: -33.458246; Long: -70.66205; Alt: 552.448;
[2024-07-05 21:17:56.196815]; Lat: -33.458246; Long: -70.66205; Alt: 552.448;
[2024-07-05 21:17:57.202896]; Lat: -33.458245; Long: -70.66205; Alt: 552.377;
[2024-07-05 21:17:58.208784]; Lat: -33.458245; Long: -70.66205; Alt: 552.377;
[2024-07-05 21:17:59.211949]; Lat: -33.458245; Long: -70.66205; Alt: 552.377;
[2024-07-05 21:18:00.219289]; Lat: -33.458246; Long: -70.662051; Alt: 552.591;
[2024-07-05 21:18:01.224319]; Lat: -33.458246; Long: -70.662051; Alt: 552.591;
[2024-07-05 21:18:02.226978]; Lat: -33.458246; Long: -70.662051; Alt: 552.591;
[2024-07-05 21:18:03.232168]; Lat: -33.458246; Long: -70.662051; Alt: 552.653;
[2024-07-05 21:18:04.237770]; Lat: -33.458246; Long: -70.662051; Alt: 552.653;
[2024-07-05 21:18:05.240888]; Lat: -33.458246; Long: -70.662051; Alt: 552.653;
[2024-07-05 21:18:06.246963]; Lat: -33.458246; Long: -70.662051; Alt: 552.461;
[2024-07-05 21:18:07.251852]; Lat: -33.458246; Long: -70.662051; Alt: 552.461;
[2024-07-05 21:18:08.254811]; Lat: -33.458246; Long: -70.662051; Alt: 552.461;
[2024-07-05 21:18:09.260789]; Lat: -33.458246; Long: -70.66205; Alt: 552.41;
[2024-07-05 21:18:10.267480]; Lat: -33.458246; Long: -70.66205; Alt: 552.41;
[2024-07-05 21:18:11.270255]; Lat: -33.458246; Long: -70.66205; Alt: 552.41;
[2024-07-05 21:18:12.275523]; Lat: -33.458246; Long: -70.66205; Alt: 552.328;
[2024-07-05 21:18:13.280523]; Lat: -33.458246; Long: -70.66205; Alt: 552.328;
