Magnetometer X:8.55, Y: -11.70, Z: -23.10 uT

[2024-07-08 19:22:40.123901]Acceleration: X:7.05, Y: 1.93, Z: 6.69 m/s^2
Gyro X:0.00, Y: 0.01, Z: -0.00 rads/s
Magnetometer X:8.25, Y: -12.60, Z: -23.10 uT

[2024-07-08 19:22:41.154186]Acceleration: X:7.04, Y: 1.92, Z: 6.64 m/s^2
Gyro X:-0.01, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:7.80, Y: -11.40, Z: -22.35 uT

[2024-07-08 19:22:42.184425]Acceleration: X:7.06, Y: 1.95, Z: 6.79 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:7.50, Y: -12.60, Z: -23.10 uT

[2024-07-08 19:22:44.723711]Acceleration: X:7.04, Y: 1.94, Z: 6.81 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:8.40, Y: -12.30, Z: -22.80 uT

[2024-07-08 19:22:45.754061]Acceleration: X:7.10, Y: 1.99, Z: 6.75 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:7.50, Y: -11.40, Z: -22.65 uT

[2024-07-08 19:22:46.784413]Acceleration: X:7.02, Y: 1.87, Z: 6.76 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:8.85, Y: -13.50, Z: -23.25 uT

[2024-07-08 19:22:47.815340]Acceleration: X:7.04, Y: 1.91, Z: 6.78 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:8.55, Y: -11.70, Z: -22.35 uT

[2024-07-08 19:22:48.845802]Acceleration: X:6.99, Y: 1.91, Z: 6.80 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:6.60, Y: -12.00, Z: -24.00 uT

[2024-07-08 19:22:51.386368]Acceleration: X:7.07, Y: 1.89, Z: 6.82 m/s^2
Gyro X:-0.01, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:8.40, Y: -12.30, Z: -22.05 uT

[2024-07-08 19:22:52.417194]Acceleration: X:7.04, Y: 1.89, Z: 6.80 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:8.85, Y: -11.55, Z: -21.75 uT

[2024-07-08 19:22:53.446998]Acceleration: X:7.07, Y: 1.81, Z: 6.78 m/s^2
Gyro X:0.02, Y: 0.00, Z: -0.01 rads/s
Magnetometer X:8.55, Y: -11.70, Z: -20.85 uT

[2024-07-08 19:22:54.476620]Acceleration: X:7.03, Y: 1.85, Z: 6.71 m/s^2
Gyro X:-0.01, Y: 0.01, Z: -0.00 rads/s
